indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Active travel to school,NHS Fife,S08000029,Health board,2010,2010/11 school year,17822,47.3,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2011,2011/12 school year,16944,47.39,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2012,2012/13 school year,20628,49.53,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2013,2013/14 school year,21452,50.37,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2014,2014/15 school year,21542,49.62,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2015,2015/16 school year,21087,48.67,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2016,2016/17 school year,21277,48.66,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2017,2017/18 school year,20769,49.24,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2018,2018/19 school year,20223,48.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2019,2019/20 school year,17944,44.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2020,2020/21 school year,21998,51.69,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Fife,S08000029,Health board,2021,2021/22 school year,18278,47.6,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2008,2008/09 school year,16548,52.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2009,2009/10 school year,16027,53.59,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2010,2010/11 school year,15676,53.18,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2011,2011/12 school year,17499,53.53,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2012,2012/13 school year,17514,52.05,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2013,2013/14 school year,17534,53.37,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2014,2014/15 school year,22172,54.37,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2015,2015/16 school year,20529,53.25,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2016,2016/17 school year,15696,52.08,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2017,2017/18 school year,19452,52.26,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2018,2018/19 school year,17922,52.85,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2019,2019/20 school year,19506,52.24,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2020,2020/21 school year,17812,53.18,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Tayside,S08000030,Health board,2021,2021/22 school year,17973,52.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2008,2008/09 school year,37563,51.68,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2009,2009/10 school year,41571,50.06,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2010,2010/11 school year,40035,49.89,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2011,2011/12 school year,27767,49.09,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2012,2012/13 school year,36932,48.97,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2013,2013/14 school year,39127,49.6,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2014,2014/15 school year,36755,48.41,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2015,2015/16 school year,39692,50.47,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2016,2016/17 school year,32550,46.77,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2017,2017/18 school year,34591,47.3,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2018,2018/19 school year,41537,47.98,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2019,2019/20 school year,41536,47.83,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2020,2020/21 school year,36602,49.64,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Greater Glasgow & Clyde,S08000031,Health board,2021,2021/22 school year,41438,49.74,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2008,2008/09 school year,19074,47.89,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2009,2009/10 school year,33657,47.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2010,2010/11 school year,31915,45.83,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2011,2011/12 school year,34333,45.67,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2012,2012/13 school year,34128,45.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2013,2013/14 school year,35880,46.8,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2014,2014/15 school year,35597,46.65,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2015,2015/16 school year,34546,46.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2016,2016/17 school year,34831,45.59,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2017,2017/18 school year,29964,44.81,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2018,2018/19 school year,27570,43.47,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2019,2019/20 school year,29084,42.65,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2020,2020/21 school year,17613,43.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Lanarkshire,S08000032,Health board,2021,2021/22 school year,19547,44.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2008,2008/09 school year,1879,58.94,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2009,2009/10 school year,0,0,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2010,2010/11 school year,3010,55.6,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2011,2011/12 school year,2879,53.31,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2012,2012/13 school year,3245,56.2,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2013,2013/14 school year,3247,54.65,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2014,2014/15 school year,2785,66.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2015,2015/16 school year,3100,55.9,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2016,2016/17 school year,2996,55.89,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2017,2017/18 school year,2699,57.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2018,2018/19 school year,2338,64.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2019,2019/20 school year,2133,64.27,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2020,2020/21 school year,2349,65.91,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Clackmannanshire,S12000005,Council area,2021,2021/22 school year,2199,66.06,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2008,2008/09 school year,4419,49.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2009,2009/10 school year,5232,43.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2010,2010/11 school year,5369,43.2,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2011,2011/12 school year,6003,45.39,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2012,2012/13 school year,6813,46.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2013,2013/14 school year,6764,46.47,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2014,2014/15 school year,7062,48.94,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2015,2015/16 school year,5932,47.79,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2016,2016/17 school year,6245,45.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2017,2017/18 school year,6028,44.42,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2018,2018/19 school year,5180,43.62,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2019,2019/20 school year,5311,42.51,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2020,2020/21 school year,4893,45.18,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Dumfries & Galloway,S12000006,Council area,2021,2021/22 school year,4775,47.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2008,2008/09 school year,5992,46.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2009,2009/10 school year,5529,45.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2010,2010/11 school year,5463,42.49,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2011,2011/12 school year,5595,44.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2012,2012/13 school year,5853,44.11,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2013,2013/14 school year,5824,47.35,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2014,2014/15 school year,6270,50.67,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2015,2015/16 school year,6038,48.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2016,2016/17 school year,6193,46.94,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2017,2017/18 school year,5104,46.86,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2018,2018/19 school year,5369,44.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2019,2019/20 school year,5356,44.03,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2020,2020/21 school year,4789,46.08,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Ayrshire,S12000008,Council area,2021,2021/22 school year,5226,45.01,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2008,2008/09 school year,8098,64.83,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2009,2009/10 school year,8060,67.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2010,2010/11 school year,7739,66.82,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2011,2011/12 school year,7966,65.42,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2012,2012/13 school year,8221,64.79,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2013,2013/14 school year,8196,66.75,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2014,2014/15 school year,7854,66.41,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2015,2015/16 school year,8282,67.36,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2016,2016/17 school year,7220,66.55,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2017,2017/18 school year,6958,64.74,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2018,2018/19 school year,6899,64.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2019,2019/20 school year,6920,62.66,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2020,2020/21 school year,6248,66,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Lothian,S12000010,Council area,2021,2021/22 school year,5830,63.93,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2008,2008/09 school year,4828,40.63,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2009,2009/10 school year,3706,39.77,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2010,2010/11 school year,4373,41.01,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2011,2011/12 school year,4800,42.32,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2012,2012/13 school year,4814,41.12,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2013,2013/14 school year,4539,42.32,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2014,2014/15 school year,5366,43.23,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2015,2015/16 school year,4795,45.83,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2016,2016/17 school year,5341,42.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2017,2017/18 school year,3951,45.27,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2018,2018/19 school year,5065,42.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2019,2019/20 school year,5310,43.5,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2020,2020/21 school year,6121,48.75,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,East Renfrewshire,S12000011,Council area,2021,2021/22 school year,6910,48.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2008,2008/09 school year,0,0,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2009,2009/10 school year,297,23.74,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2010,2010/11 school year,247,27.23,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2011,2011/12 school year,348,17.65,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2012,2012/13 school year,324,20.26,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2013,2013/14 school year,554,18.3,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2014,2014/15 school year,215,17.39,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2015,2015/16 school year,552,18.9,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2016,2016/17 school year,479,17.3,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2017,2017/18 school year,560,20.54,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2018,2018/19 school year,216,20.51,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2019,2019/20 school year,228,11.2,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2020,2020/21 school year,119,11.91,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Na h-Eileanan Siar,S12000013,Council area,2021,2021/22 school year,191,14.33,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2008,2008/09 school year,4342,53.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2009,2009/10 school year,4002,48.95,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2010,2010/11 school year,5645,44.63,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2011,2011/12 school year,7262,54.56,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2012,2012/13 school year,6387,51.08,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2013,2013/14 school year,5964,49.65,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2014,2014/15 school year,5100,50.33,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2015,2015/16 school year,5029,48.31,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2016,2016/17 school year,3890,49.42,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2017,2017/18 school year,5794,48.26,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2018,2018/19 school year,6301,47.73,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2019,2019/20 school year,3181,45.92,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2020,2020/21 school year,3468,48.32,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Falkirk,S12000014,Council area,2021,2021/22 school year,5245,48.43,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2008,2008/09 school year,7997,48.84,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2009,2009/10 school year,7248,47.84,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2010,2010/11 school year,6972,46.11,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2011,2011/12 school year,7880,48.35,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2012,2012/13 school year,6319,46.44,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2013,2013/14 school year,7988,46.26,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Highland,S12000017,Council area,2014,2014/15 school year,5802,45.16,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
